Timeinterval Start Loc;Column1;Timeinterval End Loc;Isp;Quantity Measurement Unit Name;Afrr Down;Afrr Up;Incident Reserve Down;Incident Reserve Up;Absolute Total Volume;Total Volume
01/01/2024 15:30;1704123000000;01/01/2024 15:45;63;kWh;0;25652;0;0;25652;25652
01/01/2024 15:45;1704123900000;01/01/2024 16:00;64;kWh;0;44977;0;0;44977;44977
01/01/2024 16:00;1704124800000;01/01/2024 16:15;65;kWh;-5471;2474;0;0;7945;-2997
01/01/2024 16:15;1704125700000;01/01/2024 16:30;66;kWh;-1411;704;0;0;2115;-707
01/01/2024 16:30;1704126600000;01/01/2024 16:45;67;kWh;0;1101;0;0;1101;1101
01/01/2024 16:45;1704127500000;01/01/2024 17:00;68;kWh;0;2747;0;0;2747;2747
01/01/2024 17:00;1704128400000;01/01/2024 17:15;69;kWh;0;667;0;0;667;667
01/01/2024 17:15;1704129300000;01/01/2024 17:30;70;kWh;0;8757;0;0;8757;8757
01/01/2024 17:30;1704130200000;01/01/2024 17:45;71;kWh;0;35318;0;0;35318;35318
01/01/2024 17:45;1704131100000;01/01/2024 18:00;72;kWh;-878;45778;0;0;46656;44900
01/01/2024 18:00;1704132000000;01/01/2024 18:15;73;kWh;-12158;2693;0;0;14851;-9465
01/01/2024 18:15;1704132900000;01/01/2024 18:30;74;kWh;-711;0;0;0;711;-711
01/01/2024 18:30;1704133800000;01/01/2024 18:45;75;kWh;-1;0;0;0;1;-1
01/01/2024 18:45;1704134700000;01/01/2024 19:00;76;kWh;-6204;2482;0;0;8686;-3722
01/01/2024 19:00;1704135600000;01/01/2024 19:15;77;kWh;-18904;1323;0;0;20227;-17581
01/01/2024 19:15;1704136500000;01/01/2024 19:30;78;kWh;-23890;0;0;0;23890;-23890
01/01/2024 19:30;1704137400000;01/01/2024 19:45;79;kWh;-4900;0;0;0;4900;-4900
01/01/2024 19:45;1704138300000;01/01/2024 20:00;80;kWh;-3683;2453;0;0;6136;-1230
01/01/2024 20:00;1704139200000;01/01/2024 20:15;81;kWh;0;48716;0;0;48716;48716
01/01/2024 20:15;1704140100000;01/01/2024 20:30;82;kWh;0;57839;0;0;57839;57839
01/01/2024 20:30;1704141000000;01/01/2024 20:45;83;kWh;0;1447;0;0;1447;1447
01/01/2024 20:45;1704141900000;01/01/2024 21:00;84;kWh;-4979;0;0;0;4979;-4979
01/01/2024 21:00;1704142800000;01/01/2024 21:15;85;kWh;-3198;0;0;0;3198;-3198
01/01/2024 21:15;1704143700000;01/01/2024 21:30;86;kWh;-10557;0;0;0;10557;-10557
01/01/2024 21:30;1704144600000;01/01/2024 21:45;87;kWh;-23338;297;0;0;23635;-23041
01/01/2024 21:45;1704145500000;01/01/2024 22:00;88;kWh;-23918;522;0;0;24440;-23396
01/01/2024 22:00;1704146400000;01/01/2024 22:15;89;kWh;-20896;0;0;0;20896;-20896
01/01/2024 22:15;1704147300000;01/01/2024 22:30;90;kWh;-24947;0;0;0;24947;-24947
01/01/2024 22:30;1704148200000;01/01/2024 22:45;91;kWh;-13295;0;0;0;13295;-13295
01/01/2024 22:45;1704149100000;01/01/2024 23:00;92;kWh;-20010;0;0;0;20010;-20010
01/01/2024 23:00;1704150000000;01/01/2024 23:15;93;kWh;-3029;0;0;0;3029;-3029
01/01/2024 23:15;1704150900000;01/01/2024 23:30;94;kWh;-12159;0;0;0;12159;-12159
01/01/2024 23:30;1704151800000;01/01/2024 23:45;95;kWh;-18862;0;0;0;18862;-18862
01/01/2024 23:45;1704152700000;02/01/2024 00:00;96;kWh;-33161;0;0;0;33161;-33161
02/01/2024 00:00;1704153600000;02/01/2024 00:15;1;kWh;-148168;0;0;0;148168;-148168
02/01/2024 00:15;1704154500000;02/01/2024 00:30;2;kWh;-164494;0;0;0;164494;-164494
02/01/2024 00:30;1704155400000;02/01/2024 00:45;3;kWh;-142584;0;0;0;142584;-142584
02/01/2024 00:45;1704156300000;02/01/2024 01:00;4;kWh;-186518;0;0;0;186518;-186518
02/01/2024 01:00;1704157200000;02/01/2024 01:15;5;kWh;-112627;0;0;0;112627;-112627
02/01/2024 01:15;1704158100000;02/01/2024 01:30;6;kWh;-117919;0;0;0;117919;-117919
02/01/2024 01:30;1704159000000;02/01/2024 01:45;7;kWh;-148210;0;0;0;148210;-148210
02/01/2024 01:45;1704159900000;02/01/2024 02:00;8;kWh;-158903;0;0;0;158903;-158903
02/01/2024 02:00;1704160800000;02/01/2024 02:15;9;kWh;-47210;0;0;0;47210;-47210
02/01/2024 02:15;1704161700000;02/01/2024 02:30;10;kWh;-78994;0;0;0;78994;-78994
02/01/2024 02:30;1704162600000;02/01/2024 02:45;11;kWh;-103715;0;0;0;103715;-103715
02/01/2024 02:45;1704163500000;02/01/2024 03:00;12;kWh;-99829;0;0;0;99829;-99829
02/01/2024 03:00;1704164400000;02/01/2024 03:15;13;kWh;-74087;0;0;0;74087;-74087
02/01/2024 03:15;1704165300000;02/01/2024 03:30;14;kWh;-61855;0;0;0;61855;-61855
02/01/2024 03:30;1704166200000;02/01/2024 03:45;15;kWh;-66567;0;0;0;66567;-66567
02/01/2024 03:45;1704167100000;02/01/2024 04:00;16;kWh;-81145;0;0;0;81145;-81145
02/01/2024 04:00;1704168000000;02/01/2024 04:15;17;kWh;-56768;0;0;0;56768;-56768
02/01/2024 04:15;1704168900000;02/01/2024 04:30;18;kWh;-71103;0;0;0;71103;-71103
02/01/2024 04:30;1704169800000;02/01/2024 04:45;19;kWh;-51449;0;0;0;51449;-51449
02/01/2024 04:45;1704170700000;02/01/2024 05:00;20;kWh;-46201;0;0;0;46201;-46201
02/01/2024 05:00;1704171600000;02/01/2024 05:15;21;kWh;-44124;0;0;0;44124;-44124
02/01/2024 05:15;1704172500000;02/01/2024 05:30;22;kWh;-16897;0;0;0;16897;-16897
02/01/2024 05:30;1704173400000;02/01/2024 05:45;23;kWh;-36;0;0;0;36;-36
02/01/2024 05:45;1704174300000;02/01/2024 06:00;24;kWh;-51033;0;0;0;51033;-51033
02/01/2024 06:00;1704175200000;02/01/2024 06:15;25;kWh;-163153;0;0;0;163153;-163153
02/01/2024 06:15;1704176100000;02/01/2024 06:30;26;kWh;-102176;0;0;0;102176;-102176
02/01/2024 06:30;1704177000000;02/01/2024 06:45;27;kWh;-57461;0;0;0;57461;-57461
02/01/2024 06:45;1704177900000;02/01/2024 07:00;28;kWh;-44900;0;0;0;44900;-44900
02/01/2024 07:00;1704178800000;02/01/2024 07:15;29;kWh;-96418;0;0;0;96418;-96418
02/01/2024 07:15;1704179700000;02/01/2024 07:30;30;kWh;-60074;0;0;0;60074;-60074
02/01/2024 07:30;1704180600000;02/01/2024 07:45;31;kWh;-48057;0;0;0;48057;-48057
02/01/2024 07:45;1704181500000;02/01/2024 08:00;32;kWh;-17315;0;0;0;17315;-17315
02/01/2024 08:00;1704182400000;02/01/2024 08:15;33;kWh;-35891;0;0;0;35891;-35891
02/01/2024 08:15;1704183300000;02/01/2024 08:30;34;kWh;-18335;0;0;0;18335;-18335
02/01/2024 08:30;1704184200000;02/01/2024 08:45;35;kWh;-17042;0;0;0;17042;-17042
02/01/2024 08:45;1704185100000;02/01/2024 09:00;36;kWh;-7390;0;0;0;7390;-7390
02/01/2024 09:00;1704186000000;02/01/2024 09:15;37;kWh;-1558;0;0;0;1558;-1558
02/01/2024 09:15;1704186900000;02/01/2024 09:30;38;kWh;-472;0;0;0;472;-472
02/01/2024 09:30;1704187800000;02/01/2024 09:45;39;kWh;-34925;0;0;0;34925;-34925
02/01/2024 09:45;1704188700000;02/01/2024 10:00;40;kWh;-54744;0;0;0;54744;-54744
02/01/2024 10:00;1704189600000;02/01/2024 10:15;41;kWh;-21603;0;0;0;21603;-21603
02/01/2024 10:15;1704190500000;02/01/2024 10:30;42;kWh;-20322;0;0;0;20322;-20322
02/01/2024 10:30;1704191400000;02/01/2024 10:45;43;kWh;-17070;0;0;0;17070;-17070
02/01/2024 10:45;1704192300000;02/01/2024 11:00;44;kWh;-11103;0;0;0;11103;-11103
02/01/2024 11:00;1704193200000;02/01/2024 11:15;45;kWh;-870;0;0;0;870;-870
02/01/2024 11:15;1704194100000;02/01/2024 11:30;46;kWh;0;342;0;0;342;342
02/01/2024 11:30;1704195000000;02/01/2024 11:45;47;kWh;0;1453;0;0;1453;1453
02/01/2024 11:45;1704195900000;02/01/2024 12:00;48;kWh;0;0;0;0;0;0
02/01/2024 12:00;1704196800000;02/01/2024 12:15;49;kWh;0;0;0;0;0;0
02/01/2024 12:15;1704197700000;02/01/2024 12:30;50;kWh;0;0;0;0;0;0
02/01/2024 12:30;1704198600000;02/01/2024 12:45;51;kWh;0;0;0;0;0;0
02/01/2024 12:45;1704199500000;02/01/2024 13:00;52;kWh;0;0;0;0;0;0
02/01/2024 13:00;1704200400000;02/01/2024 13:15;53;kWh;0;35362;0;0;35362;35362
02/01/2024 13:15;1704201300000;02/01/2024 13:30;54;kWh;0;50206;0;0;50206;50206
02/01/2024 13:30;1704202200000;02/01/2024 13:45;55;kWh;0;33882;0;0;33882;33882
02/01/2024 13:45;1704203100000;02/01/2024 14:00;56;kWh;0;4666;0;0;4666;4666
02/01/2024 14:00;1704204000000;02/01/2024 14:15;57;kWh;0;0;0;0;0;0
02/01/2024 14:15;1704204900000;02/01/2024 14:30;58;kWh;0;0;0;0;0;0
02/01/2024 14:30;1704205800000;02/01/2024 14:45;59;kWh;0;0;0;0;0;0
02/01/2024 14:45;1704206700000;02/01/2024 15:00;60;kWh;-750;0;0;0;750;-750
02/01/2024 15:00;1704207600000;02/01/2024 15:15;61;kWh;-16528;0;0;0;16528;-16528
02/01/2024 15:15;1704208500000;02/01/2024 15:30;62;kWh;-2;0;0;0;2;-2
02/01/2024 15:30;1704209400000;02/01/2024 15:45;63;kWh;0;0;0;0;0;0
02/01/2024 15:45;1704210300000;02/01/2024 16:00;64;kWh;-2907;0;0;0;2907;-2907
02/01/2024 16:00;1704211200000;02/01/2024 16:15;65;kWh;-25644;0;0;0;25644;-25644
02/01/2024 16:15;1704212100000;02/01/2024 16:30;66;kWh;-12207;0;0;0;12207;-12207
02/01/2024 16:30;1704213000000;02/01/2024 16:45;67;kWh;-3903;0;0;0;3903;-3903
02/01/2024 16:45;1704213900000;02/01/2024 17:00;68;kWh;-4425;0;0;0;4425;-4425
02/01/2024 17:00;1704214800000;02/01/2024 17:15;69;kWh;-16928;6;0;0;16934;-16922
02/01/2024 17:15;1704215700000;02/01/2024 17:30;70;kWh;0;5443;0;0;5443;5443
02/01/2024 17:30;1704216600000;02/01/2024 17:45;71;kWh;-705;0;0;0;705;-705
02/01/2024 17:45;1704217500000;02/01/2024 18:00;72;kWh;-1767;0;0;0;1767;-1767
02/01/2024 18:00;1704218400000;02/01/2024 18:15;73;kWh;-10904;0;0;0;10904;-10904
02/01/2024 18:15;1704219300000;02/01/2024 18:30;74;kWh;-1825;0;0;0;1825;-1825
02/01/2024 18:30;1704220200000;02/01/2024 18:45;75;kWh;-10994;0;0;0;10994;-10994
02/01/2024 18:45;1704221100000;02/01/2024 19:00;76;kWh;-1730;0;0;0;1730;-1730
02/01/2024 19:00;1704222000000;02/01/2024 19:15;77;kWh;-147;0;0;0;147;-147
02/01/2024 19:15;1704222900000;02/01/2024 19:30;78;kWh;-499;0;0;0;499;-499
02/01/2024 19:30;1704223800000;02/01/2024 19:45;79;kWh;-5352;0;0;0;5352;-5352
02/01/2024 19:45;1704224700000;02/01/2024 20:00;80;kWh;-5678;2193;0;0;7871;-3485
02/01/2024 20:00;1704225600000;02/01/2024 20:15;81;kWh;0;60001;0;0;60001;60001
02/01/2024 20:15;1704226500000;02/01/2024 20:30;82;kWh;-1578;9544;0;0;11122;7966
02/01/2024 20:30;1704227400000;02/01/2024 20:45;83;kWh;-4896;2334;0;0;7230;-2562
02/01/2024 20:45;1704228300000;02/01/2024 21:00;84;kWh;-17932;0;0;0;17932;-17932
02/01/2024 21:00;1704229200000;02/01/2024 21:15;85;kWh;-5475;0;0;0;5475;-5475
02/01/2024 21:15;1704230100000;02/01/2024 21:30;86;kWh;-2216;0;0;0;2216;-2216
02/01/2024 21:30;1704231000000;02/01/2024 21:45;87;kWh;-13414;0;0;0;13414;-13414
02/01/2024 21:45;1704231900000;02/01/2024 22:00;88;kWh;0;3262;0;0;3262;3262
02/01/2024 22:00;1704232800000;02/01/2024 22:15;89;kWh;0;57752;0;0;57752;57752
02/01/2024 22:15;1704233700000;02/01/2024 22:30;90;kWh;-1115;1345;0;0;2460;230
02/01/2024 22:30;1704234600000;02/01/2024 22:45;91;kWh;-4202;0;0;0;4202;-4202
02/01/2024 22:45;1704235500000;02/01/2024 23:00;92;kWh;-893;2537;0;0;3430;1644
02/01/2024 23:00;1704236400000;02/01/2024 23:15;93;kWh;0;44917;0;0;44917;44917
02/01/2024 23:15;1704237300000;02/01/2024 23:30;94;kWh;0;23189;0;0;23189;23189
02/01/2024 23:30;1704238200000;02/01/2024 23:45;95;kWh;0;0;0;0;0;0
02/01/2024 23:45;1704239100000;03/01/2024 00:00;96;kWh;-4040;0;0;0;4040;-4040
03/01/2024 00:00;1704240000000;03/01/2024 00:15;1;kWh;-5332;56101;0;0;61433;50769
03/01/2024 00:15;1704240900000;03/01/2024 00:30;2;kWh;-655;36156;0;0;36811;35501
03/01/2024 00:30;1704241800000;03/01/2024 00:45;3;kWh;-27;21534;0;0;21561;21507
03/01/2024 00:45;1704242700000;03/01/2024 01:00;4;kWh;0;27127;0;0;27127;27127
03/01/2024 01:00;1704243600000;03/01/2024 01:15;5;kWh;0;60158;0;0;60158;60158
03/01/2024 01:15;1704244500000;03/01/2024 01:30;6;kWh;0;23077;0;0;23077;23077
03/01/2024 01:30;1704245400000;03/01/2024 01:45;7;kWh;0;15655;0;0;15655;15655
03/01/2024 01:45;1704246300000;03/01/2024 02:00;8;kWh;-1947;965;0;0;2912;-982
03/01/2024 02:00;1704247200000;03/01/2024 02:15;9;kWh;0;9445;0;0;9445;9445
03/01/2024 02:15;1704248100000;03/01/2024 02:30;10;kWh;-709;2060;0;0;2769;1351
03/01/2024 02:30;1704249000000;03/01/2024 02:45;11;kWh;-9002;1841;0;0;10843;-7161
03/01/2024 02:45;1704249900000;03/01/2024 03:00;12;kWh;-13761;8136;0;0;21897;-5625
03/01/2024 03:00;1704250800000;03/01/2024 03:15;13;kWh;-12921;1591;0;0;14512;-11330
03/01/2024 03:15;1704251700000;03/01/2024 03:30;14;kWh;-19904;0;0;0;19904;-19904
03/01/2024 03:30;1704252600000;03/01/2024 03:45;15;kWh;-16702;0;0;0;16702;-16702
03/01/2024 03:45;1704253500000;03/01/2024 04:00;16;kWh;-3832;0;0;0;3832;-3832
03/01/2024 04:00;1704254400000;03/01/2024 04:15;17;kWh;-6205;0;0;0;6205;-6205
03/01/2024 04:15;1704255300000;03/01/2024 04:30;18;kWh;-6427;0;0;0;6427;-6427
03/01/2024 04:30;1704256200000;03/01/2024 04:45;19;kWh;-8068;0;0;0;8068;-8068
03/01/2024 04:45;1704257100000;03/01/2024 05:00;20;kWh;-9089;0;0;0;9089;-9089
03/01/2024 05:00;1704258000000;03/01/2024 05:15;21;kWh;-10714;0;0;0;10714;-10714
03/01/2024 05:15;1704258900000;03/01/2024 05:30;22;kWh;-9378;0;0;0;9378;-9378
03/01/2024 05:30;1704259800000;03/01/2024 05:45;23;kWh;-1646;1519;0;0;3165;-127
03/01/2024 05:45;1704260700000;03/01/2024 06:00;24;kWh;-4425;1977;0;0;6402;-2448
03/01/2024 06:00;1704261600000;03/01/2024 06:15;25;kWh;-25018;540;0;0;25558;-24478
03/01/2024 06:15;1704262500000;03/01/2024 06:30;26;kWh;-3373;0;0;0;3373;-3373
03/01/2024 06:30;1704263400000;03/01/2024 06:45;27;kWh;-282;0;0;0;282;-282
03/01/2024 06:45;1704264300000;03/01/2024 07:00;28;kWh;0;0;0;0;0;0
03/01/2024 07:00;1704265200000;03/01/2024 07:15;29;kWh;-1135;0;0;0;1135;-1135
03/01/2024 07:15;1704266100000;03/01/2024 07:30;30;kWh;-2083;0;0;0;2083;-2083
03/01/2024 07:30;1704267000000;03/01/2024 07:45;31;kWh;-1587;1868;0;0;3455;281
03/01/2024 07:45;1704267900000;03/01/2024 08:00;32;kWh;-1109;244;0;0;1353;-865
03/01/2024 08:00;1704268800000;03/01/2024 08:15;33;kWh;-4252;377;0;0;4629;-3875
03/01/2024 08:15;1704269700000;03/01/2024 08:30;34;kWh;0;2012;0;0;2012;2012
03/01/2024 08:30;1704270600000;03/01/2024 08:45;35;kWh;0;0;0;0;0;0
03/01/2024 08:45;1704271500000;03/01/2024 09:00;36;kWh;-58;0;0;0;58;-58
03/01/2024 09:00;1704272400000;03/01/2024 09:15;37;kWh;-900;0;0;0;900;-900
03/01/2024 09:15;1704273300000;03/01/2024 09:30;38;kWh;-397;0;0;0;397;-397
03/01/2024 09:30;1704274200000;03/01/2024 09:45;39;kWh;-2609;0;0;0;2609;-2609
03/01/2024 09:45;1704275100000;03/01/2024 10:00;40;kWh;-7361;1147;0;0;8508;-6214
03/01/2024 10:00;1704276000000;03/01/2024 10:15;41;kWh;-4690;704;0;0;5394;-3986
03/01/2024 10:15;1704276900000;03/01/2024 10:30;42;kWh;-5933;753;0;0;6686;-5180
03/01/2024 10:30;1704277800000;03/01/2024 10:45;43;kWh;-7336;3;0;0;7339;-7333
03/01/2024 10:45;1704278700000;03/01/2024 11:00;44;kWh;-2519;0;0;0;2519;-2519
03/01/2024 11:00;1704279600000;03/01/2024 11:15;45;kWh;-1244;0;0;0;1244;-1244
03/01/2024 11:15;1704280500000;03/01/2024 11:30;46;kWh;0;1040;0;0;1040;1040
03/01/2024 11:30;1704281400000;03/01/2024 11:45;47;kWh;0;27;0;0;27;27
03/01/2024 11:45;1704282300000;03/01/2024 12:00;48;kWh;0;1610;0;0;1610;1610
03/01/2024 12:00;1704283200000;03/01/2024 12:15;49;kWh;0;1997;0;0;1997;1997
03/01/2024 12:15;1704284100000;03/01/2024 12:30;50;kWh;0;0;0;0;0;0
03/01/2024 12:30;1704285000000;03/01/2024 12:45;51;kWh;-2812;0;0;0;2812;-2812
03/01/2024 12:45;1704285900000;03/01/2024 13:00;52;kWh;-9971;503;0;0;10474;-9468
03/01/2024 13:00;1704286800000;03/01/2024 13:15;53;kWh;-12739;0;0;0;12739;-12739
03/01/2024 13:15;1704287700000;03/01/2024 13:30;54;kWh;-17758;0;0;0;17758;-17758
03/01/2024 13:30;1704288600000;03/01/2024 13:45;55;kWh;-21338;41;0;0;21379;-21297
03/01/2024 13:45;1704289500000;03/01/2024 14:00;56;kWh;-1859;199;0;0;2058;-1660
03/01/2024 14:00;1704290400000;03/01/2024 14:15;57;kWh;-7518;1349;0;0;8867;-6169
03/01/2024 14:15;1704291300000;03/01/2024 14:30;58;kWh;-925;137;0;0;1062;-788
03/01/2024 14:30;1704292200000;03/01/2024 14:45;59;kWh;-489;65;0;0;554;-424
03/01/2024 14:45;1704293100000;03/01/2024 15:00;60;kWh;0;38790;0;0;38790;38790
03/01/2024 15:00;1704294000000;03/01/2024 15:15;61;kWh;-725;3409;0;0;4134;2684
03/01/2024 15:15;1704294900000;03/01/2024 15:30;62;kWh;-2160;0;0;0;2160;-2160
03/01/2024 15:30;1704295800000;03/01/2024 15:45;63;kWh;0;0;0;0;0;0
03/01/2024 15:45;1704296700000;03/01/2024 16:00;64;kWh;0;3849;0;0;3849;3849
03/01/2024 16:00;1704297600000;03/01/2024 16:15;65;kWh;-16882;1719;0;0;18601;-15163
03/01/2024 16:15;1704298500000;03/01/2024 16:30;66;kWh;-16930;292;0;0;17222;-16638
03/01/2024 16:30;1704299400000;03/01/2024 16:45;67;kWh;-3553;298;0;0;3851;-3255
03/01/2024 16:45;1704300300000;03/01/2024 17:00;68;kWh;0;10333;0;0;10333;10333
03/01/2024 17:00;1704301200000;03/01/2024 17:15;69;kWh;-3058;7147;0;0;10205;4089
03/01/2024 17:15;1704302100000;03/01/2024 17:30;70;kWh;-2;2199;0;0;2201;2197
03/01/2024 17:30;1704303000000;03/01/2024 17:45;71;kWh;0;52151;0;0;52151;52151
03/01/2024 17:45;1704303900000;03/01/2024 18:00;72;kWh;0;33479;0;0;33479;33479
03/01/2024 18:00;1704304800000;03/01/2024 18:15;73;kWh;0;6546;0;0;6546;6546
03/01/2024 18:15;1704305700000;03/01/2024 18:30;74;kWh;0;4577;0;0;4577;4577
03/01/2024 18:30;1704306600000;03/01/2024 18:45;75;kWh;0;2390;0;0;2390;2390
03/01/2024 18:45;1704307500000;03/01/2024 19:00;76;kWh;0;0;0;0;0;0
03/01/2024 19:00;1704308400000;03/01/2024 19:15;77;kWh;-495;0;0;0;495;-495
03/01/2024 19:15;1704309300000;03/01/2024 19:30;78;kWh;-1593;0;0;0;1593;-1593
03/01/2024 19:30;1704310200000;03/01/2024 19:45;79;kWh;-1298;0;0;0;1298;-1298
03/01/2024 19:45;1704311100000;03/01/2024 20:00;80;kWh;-481;0;0;0;481;-481
03/01/2024 20:00;1704312000000;03/01/2024 20:15;81;kWh;0;179;0;0;179;179
03/01/2024 20:15;1704312900000;03/01/2024 20:30;82;kWh;0;8303;0;0;8303;8303
03/01/2024 20:30;1704313800000;03/01/2024 20:45;83;kWh;0;1286;0;0;1286;1286
03/01/2024 20:45;1704314700000;03/01/2024 21:00;84;kWh;-375;0;0;0;375;-375
03/01/2024 21:00;1704315600000;03/01/2024 21:15;85;kWh;-3038;0;0;0;3038;-3038
03/01/2024 21:15;1704316500000;03/01/2024 21:30;86;kWh;0;9271;0;0;9271;9271
